Date,Type,Name,Start,End,Duration
01/05/16,place,HOME,2016-05-01T00:00:00+01:00,2016-05-01T12:34:40+01:00,45280
01/05/16,move,transport,2016-05-01T12:34:40+01:00,2016-05-01T13:04:23+01:00,1783
01/05/16,place,TEMPU's lounge gallery,2016-05-01T13:04:23+01:00,2016-05-01T15:36:13+01:00,9110
01/05/16,move,transport,2016-05-01T15:36:13+01:00,2016-05-01T16:18:46+01:00,2553
01/05/16,place,HOME,2016-05-01T16:18:46+01:00,2016-05-01T17:32:57+01:00,4451
01/05/16,move,transport,2016-05-01T17:32:57+01:00,2016-05-01T17:37:46+01:00,289
01/05/16,move,walking,2016-05-01T17:37:46+01:00,2016-05-01T17:39:51+01:00,125
01/05/16,place,Place in Portugal,2016-05-01T17:39:52+01:00,2016-05-01T17:48:32+01:00,520
01/05/16,move,transport,2016-05-01T17:48:32+01:00,2016-05-01T17:51:19+01:00,167
01/05/16,move,walking,2016-05-01T17:51:20+01:00,2016-05-01T17:53:50+01:00,150
01/05/16,place,Jumbo,2016-05-01T17:53:50+01:00,2016-05-01T18:20:12+01:00,1582
01/05/16,move,walking,2016-05-01T18:20:12+01:00,2016-05-01T18:24:51+01:00,279
01/05/16,place,Place in Dolce Vita Coimbra,2016-05-01T18:24:52+01:00,2016-05-01T18:34:45+01:00,593
01/05/16,move,walking,2016-05-01T18:34:45+01:00,2016-05-01T18:38:21+01:00,216
01/05/16,move,transport,2016-05-01T18:38:21+01:00,2016-05-01T18:46:53+01:00,512
01/05/16,move,walking,2016-05-01T18:46:53+01:00,2016-05-01T18:48:57+01:00,124
01/05/16,place,Piscina,2016-05-01T18:48:58+01:00,2016-05-01T19:40:33+01:00,3095
01/05/16,move,walking,2016-05-01T19:40:33+01:00,2016-05-01T20:30:34+01:00,3001
01/05/16,place,HOME,2016-05-01T20:30:34+01:00,2016-05-02T00:00:00+01:00,12566
02/05/16,place,HOME,2016-05-02T00:00:00+01:00,2016-05-02T08:26:13+01:00,30373
02/05/16,move,transport,2016-05-02T08:26:13+01:00,2016-05-02T08:37:22+01:00,669
02/05/16,place,IPN,2016-05-02T08:37:22+01:00,2016-05-02T11:45:06+01:00,11264
02/05/16,move,transport,2016-05-02T11:45:06+01:00,2016-05-02T11:52:24+01:00,438
02/05/16,move,walking,2016-05-02T11:52:24+01:00,2016-05-02T11:56:01+01:00,217
02/05/16,place,Fnac,2016-05-02T11:56:02+01:00,2016-05-02T12:35:01+01:00,2339
02/05/16,move,walking,2016-05-02T12:35:01+01:00,2016-05-02T12:36:56+01:00,115
02/05/16,place,Place in Forum Coimbra,2016-05-02T12:36:57+01:00,2016-05-02T12:39:04+01:00,127
02/05/16,move,transport,2016-05-02T12:39:04+01:00,2016-05-02T12:48:47+01:00,583
02/05/16,move,walking,2016-05-02T12:48:48+01:00,2016-05-02T12:50:49+01:00,121
02/05/16,place,DEI,2016-05-02T12:50:49+01:00,2016-05-02T16:41:15+01:00,13826
02/05/16,move,walking,2016-05-02T16:41:15+01:00,2016-05-02T16:43:20+01:00,125
02/05/16,move,transport,2016-05-02T16:43:21+01:00,2016-05-02T16:49:53+01:00,392
02/05/16,place,Escola Sofia,2016-05-02T16:49:53+01:00,2016-05-02T17:03:56+01:00,843
02/05/16,move,transport,2016-05-02T17:03:56+01:00,2016-05-02T17:11:51+01:00,475
02/05/16,place,HOME,2016-05-02T17:11:51+01:00,2016-05-03T00:00:00+01:00,24489
03/05/16,place,HOME,2016-05-03T00:00:00+01:00,2016-05-03T09:04:49+01:00,32689
03/05/16,move,transport,2016-05-03T09:04:49+01:00,2016-05-03T09:09:16+01:00,267
03/05/16,place,DEI,2016-05-03T09:13:53+01:00,2016-05-03T13:11:33+01:00,14260
03/05/16,move,walking,2016-05-03T13:11:33+01:00,2016-05-03T13:14:13+01:00,160
03/05/16,move,transport,2016-05-03T13:14:14+01:00,2016-05-03T13:18:36+01:00,262
03/05/16,place,Via Lusitãnia,2016-05-03T13:18:37+01:00,2016-05-03T14:47:59+01:00,5362
03/05/16,move,transport,2016-05-03T14:47:59+01:00,2016-05-03T14:54:47+01:00,408
03/05/16,move,walking,2016-05-03T14:54:47+01:00,2016-05-03T14:57:50+01:00,183
03/05/16,place,DEI,2016-05-03T14:57:51+01:00,2016-05-03T15:15:52+01:00,1081
03/05/16,move,walking,2016-05-03T15:15:52+01:00,2016-05-03T15:29:03+01:00,791
03/05/16,place,DEI,2016-05-03T15:29:03+01:00,2016-05-03T19:36:48+01:00,14865
03/05/16,move,transport,2016-05-03T19:36:48+01:00,2016-05-03T19:39:30+01:00,162
03/05/16,place,Jumbo - Estação de Serviço,2016-05-03T19:39:31+01:00,2016-05-03T19:50:38+01:00,667
03/05/16,move,transport,2016-05-03T19:50:38+01:00,2016-05-03T20:03:00+01:00,742
03/05/16,place,HOME,2016-05-03T20:03:00+01:00,2016-05-04T00:00:00+01:00,14220
04/05/16,place,HOME,2016-05-04T00:00:00+01:00,2016-05-04T08:16:40+01:00,29800
04/05/16,move,transport,2016-05-04T08:16:40+01:00,2016-05-04T08:31:08+01:00,868
04/05/16,move,walking,2016-05-04T08:31:09+01:00,2016-05-04T08:33:19+01:00,130
04/05/16,place,DEI,2016-05-04T08:33:19+01:00,2016-05-04T12:33:03+01:00,14384
04/05/16,move,walking,2016-05-04T12:33:03+01:00,2016-05-04T12:35:21+01:00,138
04/05/16,place,Edifício FCTUC polo II,2016-05-04T12:35:22+01:00,2016-05-04T16:24:52+01:00,13770
04/05/16,move,walking,2016-05-04T16:24:52+01:00,2016-05-04T16:50:20+01:00,1528
04/05/16,place,DEI,2016-05-04T16:50:20+01:00,2016-05-04T17:32:27+01:00,2527
04/05/16,move,transport,2016-05-04T17:32:27+01:00,2016-05-04T17:43:44+01:00,677
04/05/16,place,HOME,2016-05-04T17:44:59+01:00,2016-05-05T00:00:00+01:00,22501
05/05/16,place,HOME,2016-05-05T00:00:00+01:00,2016-05-05T06:40:50+01:00,24050
05/05/16,move,walking,2016-05-05T06:40:50+01:00,2016-05-05T06:42:41+01:00,111
05/05/16,move,transport,2016-05-05T06:42:42+01:00,2016-05-05T06:53:49+01:00,667
05/05/16,move,transport,2016-05-05T06:53:49+01:00,2016-05-05T09:55:02+01:00,10873
05/05/16,place,Colegio Arzobispo Fonseca (Salamanca),2016-05-05T09:55:02+01:00,2016-05-05T13:10:05+01:00,11703
05/05/16,move,walking,2016-05-05T13:10:05+01:00,2016-05-05T13:11:15+01:00,70
05/05/16,place,Colegio Arzobispo Fonseca (Salamanca),2016-05-05T13:11:15+01:00,2016-05-05T14:42:00+01:00,5445
05/05/16,move,transport,2016-05-05T14:42:00+01:00,2016-05-05T14:53:58+01:00,718
05/05/16,place,Súmate - Marketing Online,2016-05-05T14:53:59+01:00,2016-05-05T16:49:13+01:00,6914
05/05/16,move,transport,2016-05-05T16:49:13+01:00,2016-05-05T20:31:47+01:00,13354
05/05/16,place,HOME,2016-05-05T20:31:47+01:00,2016-05-06T00:00:00+01:00,12493
06/05/16,place,HOME,2016-05-06T00:00:00+01:00,2016-05-06T08:05:21+01:00,29121
06/05/16,place,HOME,2016-05-06T08:12:48+01:00,2016-05-06T10:24:30+01:00,7902
06/05/16,move,transport,2016-05-06T10:24:30+01:00,2016-05-06T10:31:55+01:00,445
06/05/16,place,Jumbo - Estação de Serviço,2016-05-06T10:31:56+01:00,2016-05-06T10:38:50+01:00,414
06/05/16,move,transport,2016-05-06T10:38:50+01:00,2016-05-06T10:43:26+01:00,276
06/05/16,place,IPN TecBis,2016-05-06T10:43:26+01:00,2016-05-06T10:45:45+01:00,139
06/05/16,move,walking,2016-05-06T10:45:45+01:00,2016-05-06T10:47:50+01:00,125
06/05/16,move,transport,2016-05-06T10:47:50+01:00,2016-05-06T10:57:20+01:00,570
06/05/16,move,walking,2016-05-06T10:57:21+01:00,2016-05-06T10:59:21+01:00,120
06/05/16,move,transport,2016-05-06T10:59:21+01:00,2016-05-06T11:08:21+01:00,540
06/05/16,move,walking,2016-05-06T11:08:21+01:00,2016-05-06T11:25:24+01:00,1023
06/05/16,place,DEI,2016-05-06T11:25:24+01:00,2016-05-06T16:28:24+01:00,18180
06/05/16,move,walking,2016-05-06T16:28:24+01:00,2016-05-06T16:40:01+01:00,697
06/05/16,move,transport,2016-05-06T16:40:02+01:00,2016-05-06T16:46:02+01:00,360
06/05/16,move,walking,2016-05-06T16:46:02+01:00,2016-05-06T16:49:16+01:00,194
06/05/16,place,DEI,2016-05-06T16:49:16+01:00,2016-05-06T17:06:56+01:00,1060
06/05/16,move,transport,2016-05-06T17:06:56+01:00,2016-05-06T17:30:07+01:00,1391
06/05/16,place,British Council,2016-05-06T17:30:08+01:00,2016-05-06T17:58:30+01:00,1702
06/05/16,move,walking,2016-05-06T17:58:30+01:00,2016-05-06T18:07:32+01:00,542
06/05/16,place,British Council,2016-05-06T18:07:32+01:00,2016-05-06T20:24:40+01:00,8228
06/05/16,move,transport,2016-05-06T20:24:40+01:00,2016-05-06T20:29:42+01:00,302
06/05/16,place,HOME,2016-05-06T20:29:42+01:00,2016-05-07T00:00:00+01:00,12618
07/05/16,place,HOME,2016-05-07T00:00:00+01:00,2016-05-07T11:36:43+01:00,41803
07/05/16,move,transport,2016-05-07T11:36:43+01:00,2016-05-07T11:39:26+01:00,163
07/05/16,move,transport,2016-05-07T14:03:37+01:00,2016-05-07T14:08:36+01:00,299
07/05/16,place,HOME,2016-05-07T14:08:36+01:00,2016-05-08T00:00:00+01:00,35484
08/05/16,place,HOME,2016-05-08T00:00:00+01:00,2016-05-08T12:37:43+01:00,45463
08/05/16,move,transport,2016-05-08T12:37:43+01:00,2016-05-08T12:43:23+01:00,340
08/05/16,place,Jumbo - Estação de Serviço,2016-05-08T12:43:23+01:00,2016-05-08T12:53:39+01:00,616
08/05/16,move,transport,2016-05-08T12:53:39+01:00,2016-05-08T12:57:49+01:00,250
08/05/16,move,walking,2016-05-08T12:57:49+01:00,2016-05-08T13:00:50+01:00,181
08/05/16,place,Rei dos Frangos,2016-05-08T13:00:50+01:00,2016-05-08T13:26:07+01:00,1517
08/05/16,move,walking,2016-05-08T13:26:07+01:00,2016-05-08T13:28:18+01:00,131
08/05/16,move,transport,2016-05-08T13:28:19+01:00,2016-05-08T13:36:34+01:00,495
08/05/16,place,HOME,2016-05-08T13:36:34+01:00,2016-05-08T17:38:09+01:00,14495
08/05/16,move,transport,2016-05-08T17:38:09+01:00,2016-05-08T18:09:08+01:00,1859
08/05/16,move,walking,2016-05-08T18:09:08+01:00,2016-05-08T18:11:12+01:00,124
08/05/16,place,Área De Serviço Pombal,2016-05-08T18:11:13+01:00,2016-05-08T18:29:31+01:00,1098
08/05/16,move,transport,2016-05-08T18:29:31+01:00,2016-05-08T18:47:48+01:00,1097
08/05/16,place,Área de Serviço - Leiria,2016-05-08T18:47:48+01:00,2016-05-08T19:11:41+01:00,1433
08/05/16,move,transport,2016-05-08T19:11:41+01:00,2016-05-08T20:39:09+01:00,5248
08/05/16,move,walking,2016-05-08T20:39:09+01:00,2016-05-08T20:41:43+01:00,154
08/05/16,place,Vila Bicuda,2016-05-08T20:41:44+01:00,2016-05-08T21:05:00+01:00,1396
08/05/16,move,walking,2016-05-08T21:05:00+01:00,2016-05-08T21:06:27+01:00,87
08/05/16,place,Vila Bicuda,2016-05-08T21:06:27+01:00,2016-05-08T21:45:08+01:00,2321
08/05/16,move,walking,2016-05-08T21:45:08+01:00,2016-05-08T22:02:14+01:00,1026
08/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-08T22:02:15+01:00,2016-05-08T22:04:34+01:00,139
08/05/16,move,walking,2016-05-08T22:04:34+01:00,2016-05-08T22:12:57+01:00,503
08/05/16,place,Vila Bicuda,2016-05-08T22:12:58+01:00,2016-05-09T00:00:00+01:00,6422
09/05/16,place,Vila Bicuda,2016-05-09T00:00:00+01:00,2016-05-09T07:56:00+01:00,28560
09/05/16,move,walking,2016-05-09T07:56:00+01:00,2016-05-09T08:11:04+01:00,904
09/05/16,place,Vila Bicuda,2016-05-09T08:11:05+01:00,2016-05-09T12:19:48+01:00,14923
09/05/16,move,walking,2016-05-09T12:19:48+01:00,2016-05-09T12:33:48+01:00,840
09/05/16,place,Páteo Do Petisco,2016-05-09T12:33:48+01:00,2016-05-09T13:04:41+01:00,1853
09/05/16,move,walking,2016-05-09T13:04:41+01:00,2016-05-09T13:06:14+01:00,93
09/05/16,place,Place in Pampilheira,2016-05-09T13:06:15+01:00,2016-05-09T13:08:03+01:00,108
09/05/16,move,walking,2016-05-09T13:08:03+01:00,2016-05-09T13:20:43+01:00,760
09/05/16,place,Vila Bicuda,2016-05-09T13:20:43+01:00,2016-05-09T14:21:35+01:00,3652
09/05/16,move,walking,2016-05-09T14:21:35+01:00,2016-05-09T14:39:35+01:00,1080
09/05/16,place,Vila Bicuda,2016-05-09T14:39:36+01:00,2016-05-09T16:47:07+01:00,7651
09/05/16,move,walking,2016-05-09T16:47:07+01:00,2016-05-09T16:57:08+01:00,601
09/05/16,place,Vila Bicuda,2016-05-09T16:57:09+01:00,2016-05-09T19:04:35+01:00,7646
09/05/16,move,walking,2016-05-09T19:04:35+01:00,2016-05-09T19:45:39+01:00,2464
09/05/16,place,Vila Bicuda,2016-05-09T19:45:40+01:00,2016-05-10T00:00:00+01:00,15260
10/05/16,place,Vila Bicuda,2016-05-10T00:00:00+01:00,2016-05-10T10:18:32+01:00,37112
10/05/16,move,walking,2016-05-10T10:18:32+01:00,2016-05-10T10:19:13+01:00,41
10/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-10T10:19:14+01:00,2016-05-10T10:24:08+01:00,294
10/05/16,move,walking,2016-05-10T10:24:08+01:00,2016-05-10T10:31:04+01:00,416
10/05/16,place,Vila Bicuda,2016-05-10T10:31:04+01:00,2016-05-10T12:55:32+01:00,8668
10/05/16,move,walking,2016-05-10T12:55:32+01:00,2016-05-10T13:07:52+01:00,740
10/05/16,place,Vila Bicuda,2016-05-10T13:07:52+01:00,2016-05-10T15:38:53+01:00,9061
10/05/16,move,walking,2016-05-10T15:38:53+01:00,2016-05-10T16:01:15+01:00,1342
10/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-10T16:01:15+01:00,2016-05-10T16:04:14+01:00,179
10/05/16,move,walking,2016-05-10T16:04:14+01:00,2016-05-10T16:27:05+01:00,1371
10/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-10T16:27:06+01:00,2016-05-10T16:32:15+01:00,309
10/05/16,move,walking,2016-05-10T16:32:16+01:00,2016-05-10T16:40:01+01:00,465
10/05/16,place,Vila Bicuda,2016-05-10T16:40:01+01:00,2016-05-10T19:26:49+01:00,10008
10/05/16,move,walking,2016-05-10T19:26:49+01:00,2016-05-10T19:36:04+01:00,555
10/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-10T19:36:04+01:00,2016-05-10T19:39:07+01:00,183
10/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-10T23:53:48+01:00,2016-05-11T00:00:00+01:00,372
11/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-11T00:00:00+01:00,2016-05-11T16:45:43+01:00,60343
11/05/16,move,walking,2016-05-11T16:45:43+01:00,2016-05-11T17:47:28+01:00,3705
11/05/16,place,Vila Bicuda,2016-05-11T17:47:28+01:00,2016-05-11T19:43:10+01:00,6942
11/05/16,move,walking,2016-05-11T19:43:10+01:00,2016-05-11T19:57:33+01:00,863
11/05/16,place,Vila Bicuda,2016-05-11T19:57:34+01:00,2016-05-12T00:00:00+01:00,14546
12/05/16,place,Vila Bicuda,2016-05-12T00:00:00+01:00,2016-05-12T16:22:39+01:00,58959
12/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-12T16:22:42+01:00,2016-05-12T16:29:25+01:00,403
12/05/16,move,walking,2016-05-12T16:29:25+01:00,2016-05-12T16:45:11+01:00,946
13/05/16,place,Vila Bicuda,2016-05-13T08:01:15+01:00,2016-05-13T15:57:37+01:00,28582
13/05/16,move,walking,2016-05-13T15:57:37+01:00,2016-05-13T16:04:39+01:00,422
13/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-13T16:04:40+01:00,2016-05-13T16:07:23+01:00,163
13/05/16,move,walking,2016-05-13T16:07:23+01:00,2016-05-13T16:09:39+01:00,136
13/05/16,place,Place in Parque Natural de Sintra-Cascais,2016-05-13T16:09:40+01:00,2016-05-13T16:13:58+01:00,258
13/05/16,move,walking,2016-05-13T16:13:58+01:00,2016-05-13T16:23:29+01:00,571
13/05/16,place,Vila Bicuda,2016-05-13T16:23:29+01:00,2016-05-13T19:48:21+01:00,12292
13/05/16,move,walking,2016-05-13T19:48:21+01:00,2016-05-13T20:22:26+01:00,2045
13/05/16,move,walking,2016-05-13T20:22:26+01:00,2016-05-13T20:39:02+01:00,996
13/05/16,place,Vila Bicuda,2016-05-13T20:39:02+01:00,2016-05-14T00:00:00+01:00,12058
14/05/16,place,Vila Bicuda,2016-05-14T00:00:00+01:00,2016-05-14T17:51:08+01:00,64268
14/05/16,move,walking,2016-05-14T17:51:08+01:00,2016-05-14T18:14:56+01:00,1428
14/05/16,move,walking,2016-05-14T18:15:07+01:00,2016-05-14T18:16:02+01:00,55
14/05/16,place,Vila Bicuda,2016-05-14T18:16:03+01:00,2016-05-14T20:21:17+01:00,7514
14/05/16,move,walking,2016-05-14T20:21:17+01:00,2016-05-14T20:34:56+01:00,819
14/05/16,place,Vila Bicuda,2016-05-14T20:34:56+01:00,2016-05-15T00:00:00+01:00,12304
15/05/16,place,Vila Bicuda,2016-05-15T00:00:00+01:00,2016-05-15T09:21:02+01:00,33662
15/05/16,move,walking,2016-05-15T09:21:02+01:00,2016-05-15T09:34:55+01:00,833
15/05/16,place,Vila Bicuda,2016-05-15T09:34:55+01:00,2016-05-15T14:43:12+01:00,18497
15/05/16,move,transport,2016-05-15T14:43:12+01:00,2016-05-15T16:55:20+01:00,7928
15/05/16,place,Jumbo,2016-05-15T16:55:20+01:00,2016-05-15T17:21:39+01:00,1579
15/05/16,move,transport,2016-05-15T17:21:39+01:00,2016-05-15T17:27:46+01:00,367
15/05/16,move,walking,2016-05-15T17:27:46+01:00,2016-05-15T17:31:20+01:00,214
15/05/16,place,HOME,2016-05-15T17:31:21+01:00,2016-05-16T00:00:00+01:00,23319
16/05/16,place,HOME,2016-05-16T00:00:00+01:00,2016-05-16T08:15:56+01:00,29756
16/05/16,place,HOME,2016-05-16T08:24:23+01:00,2016-05-16T10:26:18+01:00,7315
16/05/16,move,transport,2016-05-16T10:26:18+01:00,2016-05-16T10:33:37+01:00,439
16/05/16,place,Edifício FCTUC polo II,2016-05-16T10:33:38+01:00,2016-05-16T12:26:45+01:00,6787
16/05/16,move,walking,2016-05-16T12:26:45+01:00,2016-05-16T12:34:11+01:00,446
16/05/16,place,Place in Portugal,2016-05-16T12:44:30+01:00,2016-05-17T00:00:00+01:00,40530
17/05/16,place,Place in Portugal,2016-05-17T00:00:00+01:00,2016-05-17T08:31:31+01:00,30691
17/05/16,place,HOME,2016-05-17T08:31:51+01:00,2016-05-17T10:01:32+01:00,5381
17/05/16,move,transport,2016-05-17T10:01:32+01:00,2016-05-17T10:07:36+01:00,364
17/05/16,move,walking,2016-05-17T10:07:36+01:00,2016-05-17T10:09:38+01:00,122
17/05/16,place,Jumbo,2016-05-17T10:09:39+01:00,2016-05-17T10:43:06+01:00,2007
17/05/16,move,walking,2016-05-17T10:43:06+01:00,2016-05-17T10:56:09+01:00,783
17/05/16,move,transport,2016-05-17T10:56:25+01:00,2016-05-17T11:05:08+01:00,523
17/05/16,move,walking,2016-05-17T11:05:09+01:00,2016-05-17T11:13:09+01:00,480
17/05/16,place,Faculdade de Medicina da Universidade de Coimbra,2016-05-17T11:13:09+01:00,2016-05-17T11:24:34+01:00,685
17/05/16,move,walking,2016-05-17T11:24:34+01:00,2016-05-17T11:33:33+01:00,539
17/05/16,place,Brunn's Coffee & Diner,2016-05-17T11:33:33+01:00,2016-05-17T12:29:59+01:00,3386
17/05/16,move,walking,2016-05-17T12:29:59+01:00,2016-05-17T12:35:09+01:00,310
17/05/16,place,Café Cervejaria Atenas,2016-05-17T12:35:09+01:00,2016-05-17T13:42:30+01:00,4041
17/05/16,move,walking,2016-05-17T13:42:30+01:00,2016-05-17T13:47:46+01:00,316
17/05/16,move,transport,2016-05-17T13:47:46+01:00,2016-05-17T13:53:10+01:00,324
17/05/16,place,HOME,2016-05-17T13:53:10+01:00,2016-05-17T18:42:27+01:00,17357
17/05/16,move,walking,2016-05-17T18:42:27+01:00,2016-05-17T18:44:54+01:00,147
17/05/16,place,Piscina,2016-05-17T18:44:54+01:00,2016-05-17T18:48:35+01:00,221
17/05/16,move,walking,2016-05-17T18:48:35+01:00,2016-05-17T19:33:14+01:00,2679
17/05/16,place,HOME,2016-05-17T19:33:14+01:00,2016-05-18T00:00:00+01:00,16006
18/05/16,place,HOME,2016-05-18T00:00:00+01:00,2016-05-18T08:13:05+01:00,29585
18/05/16,move,transport,2016-05-18T08:13:05+01:00,2016-05-18T08:24:57+01:00,712
18/05/16,place,DEI,2016-05-18T08:24:58+01:00,2016-05-18T10:41:04+01:00,8166
18/05/16,move,walking,2016-05-18T10:41:04+01:00,2016-05-18T11:07:51+01:00,1607
18/05/16,place,Edifício FCTUC polo II,2016-05-18T11:07:51+01:00,2016-05-18T18:12:18+01:00,25467
18/05/16,move,transport,2016-05-18T18:12:18+01:00,2016-05-18T18:48:06+01:00,2148
18/05/16,move,walking,2016-05-18T18:48:07+01:00,2016-05-18T18:51:48+01:00,221
18/05/16,place,Fnac,2016-05-18T18:51:48+01:00,2016-05-18T19:28:37+01:00,2209
18/05/16,move,walking,2016-05-18T19:28:37+01:00,2016-05-18T19:33:42+01:00,305
18/05/16,place,Fnac,2016-05-18T19:33:42+01:00,2016-05-18T20:12:33+01:00,2331
18/05/16,move,transport,2016-05-18T20:12:33+01:00,2016-05-18T20:32:25+01:00,1192
18/05/16,place,Place in Portugal,2016-05-18T20:43:34+01:00,2016-05-19T00:00:00+01:00,11786
